source_doc,duration,content
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV8MONSERRATEALEXANDERNOADOPTADORC-10052412A.MCARTAGO.csv,"('00:33:17', '00:34:17')","entonces para mí, me voy a hacer una taza de avena caliente, no tengo formas de incluir tal vez semillas de linaza o semillas de chia que son muy buenas para el cuerpo también, y no las compro por aparte para echárselas a la comida, entonces siento que es una forma como de agregar esos nutrientes de una manera práctica y que te va a saber bien al final. Melany, me decías, tienen una gran variedad de productos, cuando tú me dijiste, tienen una gran variedad de productos, ¿estabas pensando puntualmente en los cereales o estabas pensando en toda la oferta de Toch? Estaba pensando en toda la oferta de Toch. ¿Y cuáles cereales tiene variedad? Solo conozco como dos, sí, tres, no sé si tiene más sabores, creo que esos son los que más he visto."
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV5KEYLANBRENESNOPROBADORC-0905249A.MCARTAGOPARTE1.csv,"('00:17:35', '00:18:36')","Y luego ¿cuál sería la siguiente comida? Como a las siete en la noche tal vez. A las siete. Y ahí una cena pero digamos como una comida más livienita. ¿Cómo qué por ejemplo? Aquí por lo menos nosotros somos muy casados con los atoles, entonces digamos el atol de avena es el éxito en la noche. Mi mamá nos prepara atol y podemos cenar solo eso. Eso se va a preguntar, o sea es el atol y no lo acompaña ni con galletas ni con repostería ni con nada, es el atol. No, porque mami lo prepara como muy espesito, entonces como una avena ahí más pesadita, entonces podemos comer bien bien eso o a veces si cenamos comida normal, pero digamos si no hay como ganas de cocinar, nos comemos como una avenita, un atolito de avena."
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV5KEYLANBRENESNOPROBADORC-0905249A.MCARTAGO.csv,"('00:17:35', '00:18:36')","Y luego ¿cuál sería la siguiente comida? Como a las siete en la noche tal vez. A las siete. Y ahí una cena pero digamos como una comida más livienita. ¿Cómo qué por ejemplo? Aquí por lo menos nosotros somos muy casados con los atoles, entonces digamos el atol de avena es el éxito en la noche. Mi mamá nos prepara atol y podemos cenar solo eso. Eso se va a preguntar, o sea es el atol y no lo acompaña ni con galletas ni con repostería ni con nada, es el atol. No, porque mami lo prepara como muy espesito, entonces como una avena ahí más pesadita, entonces podemos comer bien bien eso o a veces si cenamos comida normal, pero digamos si no hay como ganas de cocinar, nos comemos como una avenita, un atolito de avena."
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV8MONSERRATEALEXANDERNOADOPTADORC-10052412A.MCARTAGO.csv,"('00:37:20', '00:38:25')","Siempre después de comer, ay, qué rico, un dulcito. Porque siempre busco algo en la cena. Melanie, hablando de las variedades, sé que también hay una de semillas. ¿Esa de semillas la consumes o sabes que existe pero no la comes? Sí, sí, a veces sí la compro porque como te estaba diciendo a veces me gusta como consumir avena, pero no me hago la avena o quiero consumir semillas de linaza que me han dicho que son muy buenas o algún otro tipo de semillas. Entonces compro ese, no es mi favorito, pero a veces lo compro sí como que los tengo a veces a rotar para consumirle del otro, igual del otro también. De hecho, el de semillas, el que empecé a consumir de complete fue el de semillas, que tenía los trocitos de trigo y todo. Entonces, sí, sí lo he consumido. Melanie, supongamos que tú me, no sé, estoy yo contigo en tu casa y tú tienes mucho trabajo,"
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV15KATHERINESOLERANOPROBADORNSEC-0805243.30PMCARTAGO.csv,"('01:04:25', '01:05:25')","Que compras. Fija, fija. Me dices yo. ¿No la habrás visto? ¿Por qué? ¿Por qué sientes que esto no ha ni siquiera pasado por el frente de tus obras? Tal vez yo creo que por el hecho de que estoy como casada con eso. Entonces, tal vez puedo pasar por el mercado, pero no me odie como ese chance de ver ese producto. Ah, porque tú ni siquiera compras la avena en el... Perdón, la granola en el supermercado. ¿La compras en la verdurería? En la verdurería. ¿Cómo se llama? En la verdurería. ¿Cómo se llama? En la verdurería. ¿Cómo se llama? En la verdurería. Entonces, en el supermercado la parte de las granolas no las miras. Sí. Tal vez eso es lo que me tengo a revisar. Ah, ok. Pero tal vez, y como te dije, yo siento que publicidad, esas muchachas en los supermercados, pues pueden ayudar a impulsar ese producto. Dar algo a conocer. Ok. Ok. Ok, Cátarín, porque definitivamente siento que eso automático que tú tienes. Sí. Es automático a coger tu cereal y vas en automático a la verdurería a comprar"
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV15KATHERINESOLERACONOCEDOR-NOPROBADORNSEC-0805243.30PMCARTAGO.csv,"('01:04:25', '01:05:25')","Que compras. Fija, fija. Me dices yo. ¿No la habrás visto? ¿Por qué? ¿Por qué sientes que esto no ha ni siquiera pasado por el frente de tus obras? Tal vez yo creo que por el hecho de que estoy como casada con eso. Entonces, tal vez puedo pasar por el mercado, pero no me odie como ese chance de ver ese producto. Ah, porque tú ni siquiera compras la avena en el... Perdón, la granola en el supermercado. ¿La compras en la verdurería? En la verdurería. ¿Cómo se llama? En la verdurería. ¿Cómo se llama? En la verdurería. ¿Cómo se llama? En la verdurería. Entonces, en el supermercado la parte de las granolas no las miras. Sí. Tal vez eso es lo que me tengo a revisar. Ah, ok. Pero tal vez, y como te dije, yo siento que publicidad, esas muchachas en los supermercados, pues pueden ayudar a impulsar ese producto. Dar algo a conocer. Ok. Ok. Ok, Cátarín, porque definitivamente siento que eso automático que tú tienes. Sí. Es automático a coger tu cereal y vas en automático a la verdurería a comprar"
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV5KEYLANBRENESNOPROBADORC-0905249A.MCARTAGO.csv,"('01:12:27', '01:13:31')","Para ti el tradicional es ¿cómo? Solo la abuela, pero veo que es, digamos, de izquierda a derecha, veo que hay con almendras, hay con chocolate, hay con coco, con fresa, y el último, si no, no logro ver qué es lo que dice. Dice, no sé si se ve al yogur griego. A ver, ni idea que traía ese yogur. Ok, esto es de abajo, ¿alcanza a saber qué es? o te leo. Eso es granola. Mira, granola, semillas y chia, granola, avena y pasas, granola, avena, coco. Entonces, te quería mostrar esto, Kailen, ¿por qué? y ya voy a dejar de... Incluso, y quiero que me respondas esto, el cereal que tuviste, ¿en dónde lo viste? ¿qué día que fuiste a hacer la compra y te fijaste? En Wal-Mart, sí. Entonces, ese cereal que viste en Wal-Mart, ¿era alguno de estos o no te fijaste?"
../data/transcripciones/limpias/CUARZOQLI105056-24ENTREV8MONSERRATHALEXANDERNOADOPTADORC-10052412A.MCARTAGO.csv,"('00:24:36', '00:25:38')","Vamos a hacer un ejercicio que este. Yo empiezo una frase y tú la terminas. Listo? Ok. Entonces, la primera frase es Los cereales tos son? Saludables. Saludables. Lo que pienso de cereales tos es? Tienen poca azúcar. Tienen poca azúcar. Lo que me parece interesante de cereales tos es? Los sabores. Los sabores. Lo que me gusta de cereales tos es? Que tienen poca azúcar. Que tienen poca azúcar. Ok, listo. Si yo te hablo de cereales tos, ¿qué imágenes vienen a tu mente? Como el color verde interesante. El color verde, sí. ¿Qué más? Se me viene como las barritas energéticas tos o las galletas tos que son cosas que como."
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV8MONSERRATEALEXANDERNOADOPTADORC-10052412A.MCARTAGO.csv,"('01:17:46', '01:18:48')","Ok, estos de abajo, ¿los conoces? Esas son las granolas, sí Ok, ¿de estas cuál consumes? He consumido la de chia Esta Ajá, esta y la de avena con pasas también Esta, ok, listo, eso quería mostrar Entonces, si tú me dices sería bueno que sacaran como más opciones frutales, si te entiendes bien, sí ¿Será que ya viendo ese portafolio más completo, aún así estarían faltando variedades? Para ti, o sea, ¿no? Para mí ¿Puedo desarrollar la mente? Ajá, sí, obviamente hay muchos sabores pero creo que tal vez con un par de sabores... Este yogur griego nunca lo había probado entonces sería uno que probaría para ver qué tal ese yogur griego metido en el cereal"
../data/transcripciones/limpias/CUARZOQLI05056-24ENTREV5KEYLANBRENESNOPROBADORC-0905249A.MCARTAGOPARTE1.csv,"('00:32:28', '00:33:32')","Caja blanca con hojitas cafés y una banda verde. Tal como... ¿Algo más? ¿Algún otra imagen viene a tu mente? No, como dieta. Ok, dieta. ¿Qué crees que ofrece cereales Tosh? ¿Sabes a través de ese producto? ¿Qué puede ofrecer? Ajá. Pues calidad. ¿Calidad? ¿Qué más? Calidad de vida saludable. Digamos, le ofrece como una mejor opción a la gente que estamos en el proceso de bajar el peso como para que no sea tan duro o sea más aceptable al paladar. Ok, ok. Pensando en cereales Tosh, ¿qué variedades, qué sabores tienes en mente que existen?"
